"nhs_region","trust_type","trust_name","provider_code","wk_start","wk","hcai_group","n","ecds_last_update","sus_last_update","drop"
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-03-23,12,"CO",81,2020-03-29,2020-08-04,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-03-23,12,"HO.HA",8,2020-03-07,2020-08-04,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-03-23,12,"HO.iHA",4,2020-03-22,2020-08-04,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-03-23,12,"HO.pHA",16,2020-03-21,2020-08-04,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-03-23,12,"Unlinked",8,NA,2020-02-13,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-03-30,13,"CO",41,2020-04-06,2020-08-04,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-03-30,13,"HO.HA",2,2020-03-19,2020-08-04,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-03-30,13,"HO.iHA",11,2020-04-03,2020-08-04,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-03-30,13,"HO.pHA",10,2020-03-26,2020-08-04,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-03-30,13,"Unlinked",12,2020-05-02,2020-05-07,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-04-06,14,"CO",84,2020-04-16,2020-06-04,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-04-06,14,"HO.HA",20,2020-03-26,2020-08-04,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-04-06,14,"HO.iHA",5,2020-04-04,2020-04-18,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-04-06,14,"HO.pHA",1,NA,2020-08-04,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-04-06,14,"Unlinked",16,2020-04-08,NA,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-04-13,15,"CO",7,2020-04-28,2020-06-02,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-04-13,15,"HO.HA",4,2020-04-04,2020-08-04,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-04-13,15,"HO.iHA",16,2020-04-17,2020-04-26,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-04-13,15,"HO.pHA",9,2020-04-08,2020-05-06,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-04-13,15,"Unlinked",49,NA,NA,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-04-20,16,"CO",25,2020-05-04,2020-07-01,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-04-20,16,"HO.HA",6,2020-03-06,2020-08-04,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-04-20,16,"HO.iHA",5,2020-04-22,2020-05-06,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-04-20,16,"Unlinked",14,NA,NA,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-04-27,17,"CO",10,2020-05-05,2020-06-01,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-04-27,17,"HO.HA",0,NA,2020-05-20,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-04-27,17,"HO.iHA",7,2020-05-01,2020-05-08,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-04-27,17,"HO.pHA",9,2020-04-22,2020-05-01,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-04-27,17,"Unlinked",10,NA,2020-06-07,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-05-04,18,"CO",9,2020-05-18,2020-06-12,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-05-04,18,"HO.HA",4,2020-03-20,2020-08-04,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-05-04,18,"HO.iHA",0,2020-05-07,2020-05-29,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-05-04,18,"HO.pHA",9,2020-04-27,2020-05-14,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-05-04,18,"Unlinked",2,NA,2020-05-28,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-05-11,19,"CO",8,2020-05-24,2020-05-21,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-05-11,19,"HO.iHA",8,2020-05-12,2020-05-21,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-05-11,19,"Unlinked",6,2020-05-31,2020-06-03,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-05-18,20,"CO",1,2020-05-24,2020-06-19,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-05-18,20,"HO.HA",3,2019-12-09,NA,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-05-18,20,"HO.pHA",3,2020-05-10,2020-05-30,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-05-18,20,"Unlinked",18,NA,NA,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-05-25,21,"HO.pHA",14,2020-05-20,2020-06-09,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-05-25,21,"Unlinked",6,NA,NA,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-06-01,22,"CO",3,2020-06-05,NA,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-06-01,22,"HO.HA",2,2020-05-13,2020-07-08,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-06-01,22,"HO.iHA",6,2020-05-26,2020-07-09,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-06-01,22,"Unlinked",12,NA,NA,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-06-15,24,"HO.HA",11,NA,2020-06-17,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-06-15,24,"Unlinked",0,NA,NA,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-06-22,25,"CO",0,2020-06-26,NA,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-06-22,25,"Unlinked",8,NA,NA,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-06-29,26,"CO",1,2020-06-29,2020-06-29,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-07-13,28,"CO",7,2020-07-25,NA,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-07-13,28,"Unlinked",1,NA,NA,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 126","YFV",2020-07-27,30,"Unlinked",6,2020-04-06,NA,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 187","SDT",2020-02-24,8,"CO",3,2020-02-28,NA,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 187","SDT",2020-03-02,9,"CO",15,2020-03-03,NA,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 187","SDT",2020-03-02,9,"Unlinked",8,2020-03-02,NA,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 187","SDT",2020-03-09,10,"CO",8,2020-03-15,2020-03-31,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 187","SDT",2020-03-16,11,"CO",17,2020-03-21,2020-04-12,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 187","SDT",2020-03-16,11,"HO.HA",0,2020-03-02,2020-04-28,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 187","SDT",2020-03-16,11,"HO.iHA",2,2020-03-18,2020-03-20,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 187","SDT",2020-03-16,11,"Unlinked",2,2020-03-19,2020-03-25,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 187","SDT",2020-03-23,12,"CO",32,2020-03-29,2020-04-12,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 187","SDT",2020-03-23,12,"HO.iHA",4,2020-03-22,2020-04-06,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 187","SDT",2020-03-23,12,"Unlinked",37,2020-07-20,2020-03-26,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 187","SDT",2020-03-30,13,"CO",52,2020-04-11,2020-05-30,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 187","SDT",2020-03-30,13,"HO.HA",2,2020-02-18,2020-04-15,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 187","SDT",2020-03-30,13,"HO.iHA",2,2020-03-31,2020-04-24,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 187","SDT",2020-03-30,13,"Unlinked",11,2020-06-23,2020-03-16,TRUE
"EAST OF ENGLAND","ACUTE","NHS TRUST 187","SDT",2020-04-06,14,"CO",40,2020-04-18,2020-05-23,TRUE
