"linkset","nhs_region","trust_type","trust_name","provider_code","wk_start","wk","hcai_group","n","ecds_last_update","sus_last_update"
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-04-09,15,"CO.HA",7,2020-03-31,2020-04-04
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-04-09,15,"CO",17,2020-04-15,2020-06-01
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-04-09,15,"HO.iHA",7,2020-04-12,2020-05-01
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-04-16,16,"Unlinked",22,2020-04-03,2020-06-05
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-04-16,16,"CO.CA",4,2020-04-24,2020-05-15
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-04-16,16,"CO.HA",8,2020-04-12,2020-04-14
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-04-16,16,"CO",14,2020-04-22,2020-05-12
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-04-16,16,"HO.iHA",4,2020-04-17,2020-05-23
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-04-16,16,"HO.pHA",7,2020-04-09,2020-04-29
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-04-16,16,"HO.HA",5,2020-04-02,2020-04-25
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-04-23,17,"Unlinked",12,2020-06-04,2020-06-12
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-04-23,17,"CO.CA",22,2020-05-12,2020-06-04
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-04-23,17,"CO",7,2020-04-27,2020-05-13
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-04-23,17,"HO.pHA",6,2020-04-13,2020-04-27
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-04-30,18,"Unlinked",11,2020-06-13,2020-06-23
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-04-30,18,"CO.CA",13,2020-05-12,2020-05-21
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-04-30,18,"CO.HA",2,2020-04-16,2020-04-24
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-04-30,18,"CO",10,2020-05-05,2020-05-21
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-04-30,18,"HO.iHA",6,2020-05-02,2020-05-14
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-04-30,18,"HO.pHA",9,2020-04-17,2020-05-06
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-04-30,18,"HO.HA",3,2020-03-14,2020-05-01
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-05-07,19,"Unlinked",9,2020-06-12,2020-06-18
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-05-07,19,"CO.CA",11,2020-05-22,2020-06-01
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-05-07,19,"CO.HA",9,2020-05-18,2020-05-20
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-05-07,19,"CO",0,2020-05-11,2020-05-27
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-05-07,19,"HO.iHA",6,2020-05-07,2020-05-15
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-05-07,19,"HO.pHA",13,2020-05-02,2020-05-14
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-05-14,20,"Unlinked",17,2020-06-16,2020-06-22
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-05-14,20,"CO.HA",3,2020-05-11,2020-05-12
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-05-14,20,"CO",4,2020-05-17,2020-05-27
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-05-14,20,"HO.iHA",2,2020-05-10,2020-05-26
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-05-21,21,"Unlinked",7,2020-04-21,2020-04-23
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-05-21,21,"CO.CA",0,2020-05-27,2020-06-09
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-05-21,21,"CO",1,2020-05-25,2020-06-04
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-05-21,21,"HO.iHA",3,2020-05-22,2020-06-01
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-05-21,21,"HO.pHA",10,2020-05-11,2020-05-27
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-05-28,22,"Unlinked",1,2020-04-24,2020-04-30
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-05-28,22,"CO",8,2020-05-29,2020-06-01
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-06-04,23,"Unlinked",9,2019-12-07,2019-12-11
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-06-04,23,"CO",0,2020-06-09,2020-06-21
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-06-11,24,"Unlinked",6,2020-03-29,2020-03-30
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-06-18,25,"Unlinked",3,2020-05-11,2020-05-15
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-06-18,25,"CO.HA",9,2020-06-13,2020-06-14
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-06-18,25,"CO",0,2020-06-20,2020-06-20
"SGSS:SUS:ECDS","EAST OF ENGLAND","ACUTE","NORFOLK AND NORWICH UNIVERSITY HOSPITALS NHS FOUNDATION TRUST","RM1",2020-06-25,26,"Unlinked",16,2020-02-16,2020-02-28
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-03-05,10,"CO.HA",5,2020-02-24,2020-02-26
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-03-05,10,"CO",2,2020-03-09,2020-03-24
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-03-12,11,"CO.CA",15,2020-03-18,2020-03-25
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-03-12,11,"CO.HA",16,2020-03-11,2020-03-12
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-03-12,11,"CO",12,2020-03-18,2020-04-17
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-03-12,11,"HO.iHA",6,2020-03-14,2020-03-27
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-03-12,11,"HO.pHA",8,2020-03-05,2020-04-03
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-03-12,11,"HO.HA",0,2020-01-22,2020-04-01
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-03-19,12,"Unlinked",5,2020-01-30,2020-02-05
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-03-19,12,"CO.HA",3,2020-03-24,2020-04-18
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-03-19,12,"CO",19,2020-03-25,2020-04-28
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-03-19,12,"HO.iHA",8,2020-03-22,2020-05-21
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-03-19,12,"HO.pHA",15,2020-03-15,2020-04-15
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-03-19,12,"HO.HA",6,2020-03-09,2020-04-18
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-03-26,13,"Unlinked",4,2020-03-14,2020-03-20
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-03-26,13,"CO.CA",8,2020-04-07,2020-04-18
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-03-26,13,"CO.HA",16,2020-03-28,2020-03-30
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-03-26,13,"CO",53,2020-04-01,2020-04-23
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-03-26,13,"HO.iHA",17,2020-03-30,2020-05-19
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-03-26,13,"HO.pHA",11,2020-03-23,2020-04-19
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-03-26,13,"HO.HA",13,2020-03-14,2020-05-01
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-04-02,14,"Unlinked",3,2020-03-09,2020-03-18
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-04-02,14,"CO.CA",9,2020-04-18,2020-05-05
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-04-02,14,"CO.HA",32,2020-04-16,2020-04-21
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-04-02,14,"CO",122,2020-04-08,2020-05-23
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-04-02,14,"HO.iHA",63,2020-04-06,2020-05-05
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-04-02,14,"HO.pHA",10,2020-03-29,2020-04-18
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-04-02,14,"HO.HA",9,2020-03-18,2020-04-26
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-04-09,15,"Unlinked",16,2020-03-26,2020-03-27
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-04-09,15,"CO.HA",9,2020-04-15,2020-04-17
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-04-09,15,"CO",41,2020-04-15,2020-05-28
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-04-09,15,"HO.iHA",23,2020-04-13,2020-05-26
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-04-09,15,"HO.pHA",12,2020-04-05,2020-05-08
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-04-09,15,"HO.HA",5,2020-03-26,2020-04-26
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-04-16,16,"Unlinked",6,2020-03-29,2020-04-05
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-04-16,16,"CO.CA",3,2020-04-27,2020-04-28
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-04-16,16,"CO.HA",9,2020-04-16,2020-04-21
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-04-16,16,"CO",35,2020-04-22,2020-05-27
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-04-16,16,"HO.iHA",6,2020-04-18,2020-05-04
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-04-16,16,"HO.pHA",11,2020-04-13,2020-05-06
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-04-16,16,"HO.HA",6,2020-04-01,2020-05-18
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-04-23,17,"Unlinked",7,2020-04-07,2020-04-11
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-04-23,17,"CO.HA",3,2020-04-17,2020-04-20
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-04-23,17,"CO",14,2020-04-28,2020-05-12
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-04-23,17,"HO.iHA",8,2020-04-27,2020-05-23
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-04-23,17,"HO.pHA",6,2020-04-18,2020-05-16
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-04-23,17,"HO.HA",0,2020-04-13,2020-04-28
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-04-30,18,"Unlinked",4,2020-04-17,2020-04-20
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-04-30,18,"CO.CA",17,2020-05-09,2020-05-19
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-04-30,18,"CO",6,2020-05-05,2020-05-16
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-04-30,18,"HO.iHA",3,2020-05-02,2020-05-14
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-04-30,18,"HO.pHA",14,2020-04-26,2020-05-06
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-05-07,19,"Unlinked",11,2020-04-10,2020-04-22
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-05-07,19,"CO.HA",1,2020-04-21,2020-04-28
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-05-07,19,"CO",13,2020-05-13,2020-05-19
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-05-07,19,"HO.iHA",7,2020-05-03,2020-05-16
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-05-07,19,"HO.HA",9,2020-04-21,2020-05-17
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-05-14,20,"Unlinked",11,2020-04-21,2020-05-06
"SGSS:SUS:ECDS","LONDON","ACUTE","BARKING, HAVERING AND REDBRIDGE UNIVERSITY HOSPITALS NHS TRUST","RF4",2020-05-14,20,"CO",14,2020-05-19,2020-05-22
